2023 Driver and Pits,2023 Tyres,2023 From,2023 To,2023 #Laps Used,2023 Strategy Used,2023 Race Time Wet,2021 Driver and Pits,2021 Tyres,2021 From,2021 To,2021 #Laps Used,2021 Strategy Used,2021 Race Time Dry
Max Verstappen,Medium,1,55,55,1 Stop,1h 48m 51s 980ms,Max Verstappen,Soft,1,34,34,1 stop,1h 38m 56s 820ms
Max Verstappen,Intermediate,56,78,23,,,Max Verstappen,Hard,35,78,44,,
Fernando Alonso,Hard,1,54,54,2 Stop,1h 49m 19s 901ms,Carlos Sainz,Soft,1,32,32,1 stop,1h 39m 5s 788ms
Fernando Alonso,Medium,55,55,1,,,Carlos Sainz,Hard,32,78,47,,
Fernando Alonso,Intermediate,56,78,23,2 Stop,,Lando Norris,Soft,1,30,30,1 stop,1h 39m 16s 247ms
Esteban Ocon,Medium,1,32,32,,1h 49m 28s 970ms,Lando Norris,Hard,31,78,48,,
Esteban Ocon,Hard,33,54,22,,,Sergio Perez,Soft,1,35,35,1 stop,1h 39m 17s 310ms
Esteban Ocon,Intermediate,55,78,24,,,Sergio Perez,Hard,36,78,43,,
Lewis Hamilton,Medium,1,31,31,2 Stop,1h 49m 31s 42ms,Sebastian Vettel,Soft,1,31,31,1 stop,1h 39m 49s 411ms
Lewis Hamilton,Hard,32,54,23,,,Sebastian Vettel,Hard,32,78,47,,
Lewis Hamilton,Intermediate,55,78,24,,,Pierre Gasly,Soft,1,30,30,1 stop,1h 39m 50s 716ms
George Russell,Hard,1,54,54,1 Stop,1h 49m 48s 264ms,Pierre Gasly,Hard,31,78,48,,
George Russell,Intermediate,55,78,24,,,Lewis Hamilton,Soft,1,29,29,2 stop,1h 40m 5s 51ms
Charles Leclec,Hard,1,44,44,2 Stop,1h 49m 53s 870ms,Lewis Hamilton,Hard,30,67,38,,
Charles Leclec,Medium,45,55,11,,,Lewis Hamilton,Soft,68,78,11,,
Charles Leclec,Intermediate,56,78,23,,,Lance Stroll,Hard,1,58,58,1 stop,+1 Lap
Pierre Gasly,Hard,1,47,47,2 Stop,1h 49m 54s 342ms,Lance Stroll,Soft,59,77,19,,
Pierre Gasly,Medium,48,54,7,,,Esteban Ocon,Soft,1,37,37,1 stop,+1 Lap
Pierre Gasly,Intermediate,55,78,24,,,Esteban Ocon,Medium,38,77,40,,
Carlos Sainz,Hard,1,33,33,2 Stop,+1h 49m 55s 371ms,Antonio Giovinazzi,Soft,1,33,33,1 stop,+1 Lap
Carlos Sainz,Medium,34,55,22,,,Antonio Giovinazzi,Hard,34,77,44,,
Carlos Sainz,Intermediate,56,78,23,,,Kimi Raikkonen,Medium,1,43,43,1 stop,+1 Lap
Lando Norris,Medium,1,50,50,2 Stop,+1 Lap,Kimi Raikkonen,Hard,44,77,34,,
Lando Norris,Hard,51,54,4,,,Daniel Ricciardo,Medium,1,36,36,1 stop,+1 Lap
Lando Norris,Intermediate,55,77,23,,,Daniel Ricciardo,Hard,37,77,41,,
Oscar Piastri,Hard,1,54,54,1 Stop,+1 Lap,Fernando Alonso,Medium,1,45,45,1 stop,+1 Lap
Oscar Piastri,Intermediate,55,77,23,,,Fernando Alonso,Soft,46,77,32,,
Valtteri Bottas,Hard,1,51,51,1 Stop,+1 Lap,George Russell,Medium,1,31,31,1 stop,+1 Lap
Valtteri Bottas,Intermediate,52,77,26,,,George Russell,Hard,32,77,46,,
Nyck de Vries,Medium,1,53,53,1 Stop,+1 Lap,Nicholas Latifi,Medium,1,43,43,1 stop,+1 Lap
Nyck de Vries,Intermediate,54,77,24,,,Nicholas Latifi,Hard,44,77,34,,
Zhou Guanyu,Soft,1,1,1,2 Stop,+1 Lap,Yuki Tsunoda,Hard,1,64,64,1 stop,+1 Lap
Zhou Guanyu,Hard,2,52,51,,,Yuki Tsunoda,Soft,65,77,13,,
Zhou Guanyu,Intermediate,53,77,25,,,Nikita Mazepin,Soft,1,34,34,1 stop,+3 Laps
Alexander Albon,Medium,1,18,18,2 Stop,+1 Lap,Nikita Mazepin,Hard,35,75,31,,
Alexander Albon,Hard,19,52,34,,,Mick Schumacher,Soft,1,37,37,1 stop,+3 Laps
Alexander Albon,Intermediate,53,77,25,,,Mick Schumacher,Hard,38,75,38,,
Yuki Tsunoda,Medium,1,53,53,1 Stop,+2 Laps,,,,,,,
Yuki Tsunoda,Intermediate,54,76,23,,,,,,,,,
Sergio Perez,Medium,1,1,1,5 Stop,+2 Laps,,,,,,,
Sergio Perez,Hard,2,34,33,,,,,,,,,
Sergio Perez,Intermediate,35,53,19,,,,,,,,,
Sergio Perez,Wet,54,57,4,,,,,,,,,
Sergio Perez,Intermediate,58,70,13,,,,,,,,,
Sergio Perez,Medium,71,76,6,,,,,,,,,
Nico Hulkenberg,Medium,1,1,1,3 Stop,+2 Laps,,,,,,,
Nico Hulkenberg,Hard,2,54,53,,,,,,,,,
Nico Hulkenberg,Intermediate,55,59,5,,,,,,,,,
Nico Hulkenberg,Wet,60,76,17,,,,,,,,,
Logan Sargeant,Medium,1,20,20,3 Stop,+2 Laps,,,,,,,
Logan Sargeant,Hard,21,23,3,,,,,,,,,
Logan Sargeant,Soft,24,52,29,,,,,,,,,
Logan Sargeant,Intermediate,53,76,24,,,,,,,,,